Pcurr           Wcurr           Pcurr - Pprev   Wcurr - Wprev  

== TC 1 (N=36302668, P1=1, W1=10000000, M=10000000, K=10000000, A=910000001, B=610000000, C=380000001, D=579999998

2               9999999         1               -1             
3               9999998         1               -1             
4               9999997         1               -1             
5               9999996         1               -1             
6               9999995         1               -1             
7               9999994         1               -1             
8               9999993         1               -1             
9               9999992         1               -1             
10              9999991         1               -1             
11              9999990         1               -1             
12              9999989         1               -1             
13              9999988         1               -1             
14              9999987         1               -1             
15              9999986         1               -1             
16              9999985         1               -1             
17              9999984         1               -1             
18              9999983         1               -1             
19              9999982         1               -1             
20              9999981         1               -1             

== TC 2 (N=95658191, P1=9999991, W1=1, M=9999991, K=9999989, A=259999767, B=659999403, C=989998912, D=909999000

9999989         3               -2              2              
9999987         5               -2              2              
9999985         7               -2              2              
9999983         9               -2              2              
9999981         11              -2              2              
9999979         13              -2              2              
9999977         15              -2              2              
9999975         17              -2              2              
9999973         19              -2              2              
9999971         21              -2              2              
9999969         23              -2              2              
9999967         25              -2              2              
9999965         27              -2              2              
9999963         29              -2              2              
9999961         31              -2              2              
9999959         33              -2              2              
9999957         35              -2              2              
9999955         37              -2              2              
9999953         39              -2              2              

== TC 3 (N=972766173386786486, P1=123, W1=1, M=10000000, K=10000000, A=590000001, B=680000000, C=610000001, D=970000002

124             4               1               3              
125             7               1               3              
126             10              1               3              
127             13              1               3              
128             16              1               3              
129             19              1               3              
130             22              1               3              
131             25              1               3              
132             28              1               3              
133             31              1               3              
134             34              1               3              
135             37              1               3              
136             40              1               3              
137             43              1               3              
138             46              1               3              
139             49              1               3              
140             52              1               3              
141             55              1               3              
142             58              1               3              

== TC 4 (N=848937385843, P1=8, W1=7, M=17, K=19, A=0, B=5, C=6, D=2

6               7               -2              0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              
6               7               0               0              

== TC 5 (N=859373750084, P1=8, W1=7, M=17, K=19, A=1, B=16, C=6, D=2

8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              
8               7               0               0              

== TC 6 (N=967702028973969107, P1=1, W1=10000000, M=10000000, K=10000000, A=840000001, B=670000000, C=40000001, D=19999998

2               9999999         1               -1             
3               9999998         1               -1             
4               9999997         1               -1             
5               9999996         1               -1             
6               9999995         1               -1             
7               9999994         1               -1             
8               9999993         1               -1             
9               9999992         1               -1             
10              9999991         1               -1             
11              9999990         1               -1             
12              9999989         1               -1             
13              9999988         1               -1             
14              9999987         1               -1             
15              9999986         1               -1             
16              9999985         1               -1             
17              9999984         1               -1             
18              9999983         1               -1             
19              9999982         1               -1             
20              9999981         1               -1             

